"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"ENSG00000228794.10"	1.26131350831349	1.08345557295884	1.18284074041069	1.04160911795607	1.18284647708957	1.0555514887385	0.722655968282816	0.827161463572337	0.795802149335521
"ENSG00000225880.5"	1.26038664019484	1.08312993107928	1.18224690870206	1.04127651598075	1.18235498606294	1.05525283337718	0.7240728316902	0.827462793154239	0.795987503076109
"ENSG00000188976.11"	1.26147671074725	1.08353831300427	1.18296713489803	1.04167031048813	1.18297720694128	1.05562558560963	0.722410468781803	0.827093582837822	0.795698534870117
"ENSG00000187961.14"	1.26122988102631	1.08348901672911	1.18283403224272	1.04163240508674	1.1828614164354	1.05558101094588	0.722545844309014	0.827167466354125	0.795900274361788
"ENSG00000187583.11"	1.26106830228402	1.0833740280276	1.18248895362971	1.04158355896979	1.18265531905026	1.05549824081492	0.722784910568621	0.827469539529539	0.796003478900652
"ENSG00000187642.9"	1.25748999120394	1.0787633427336	1.17857733013299	1.0431314969956	1.18386538796219	1.05696696229491	0.724254303926993	0.829260347598032	0.797859499231794
"ENSG00000272512.1"	1.26032245244604	1.08347645584494	1.18237817747766	1.04190810753465	1.18320935963662	1.05587631514777	0.722615161003849	0.827313593908385	0.795904849900447
"ENSG00000188290.11"	1.26143433915982	1.08354095525427	1.18294015958818	1.04169276964191	1.18301214017093	1.05564846924934	0.722407308967238	0.82709877355551	0.795682052057701
"ENSG00000187608.10"	1.26130266171155	1.08352077157534	1.18280961374715	1.04168255430967	1.18293072018089	1.0556283567542	0.722511027738438	0.827173269408659	0.795759587674294
"ENSG00000188157.15"	1.26152849394404	1.0835548041823	1.18301046674287	1.04167857770729	1.18300988820598	1.05563721262064	0.722373016900758	0.827063921951382	0.795657344441733
"ENSG00000217801.10"	1.26138626031496	1.08353489312218	1.18287132114011	1.04169251888519	1.18298254798599	1.05564070828485	0.722447580088047	0.827137025937102	0.795707927643575
"ENSG00000273443.1"	1.26088609410391	1.08335959826941	1.18192106048463	1.04157253991465	1.18250538889057	1.05545534426708	0.722934867781212	0.827713073917522	0.796253836826563
"ENSG00000237330.3"	1.26117213685626	1.08349975881599	1.18274368795158	1.04172071932887	1.18296246145995	1.05566776645721	0.722523264781229	0.827191471454818	0.795790525450985
"ENSG00000131591.17"	1.26115230264417	1.08343839802366	1.18276069247456	1.0416069906926	1.1827903015131	1.05554247585096	0.722718114030192	0.827310420970173	0.795804822854624
"ENSG00000223823.1"	1.26001194128177	1.08292973723258	1.18192620506612	1.04095332869019	1.18192620506612	1.05482707832045	0.724983161112457	0.827626110781406	0.796287144576328
"ENSG00000207730.3"	1.25898920597477	1.08289559478044	1.18168230090762	1.04099760204072	1.18090563949076	1.05500152805513	0.724033934650977	0.828080982883463	0.798253678546607
"ENSG00000207607.3"	1.2584684601755	1.08249675238503	1.18108767127923	1.04030756372572	1.18078596272576	1.05437674407485	0.72596971293783	0.830243396804116	0.796152452534267
"ENSG00000198976.1"	1.26000148876687	1.08324710837801	1.18164732837713	1.04129020489103	1.17673037603708	1.05506512432013	0.725276350446329	0.829181793977937	0.79750283693453
"ENSG00000272141.1"	1.2612270347652	1.08344308609389	1.182765698383	1.04156502855425	1.18269388812886	1.05551508062288	0.722822356089226	0.82728030891014	0.795782632499741
"ENSG00000078808.18"	1.26152236955238	1.08355275770755	1.18300571511934	1.04167754185625	1.18300569666005	1.05563553959506	0.722377511639742	0.82706788048869	0.795662018111087
"ENSG00000176022.7"	1.26148032905631	1.08353111269489	1.18296819063032	1.04166093801178	1.18294347993363	1.05561263699136	0.722432223780548	0.827101700168527	0.795708664858757
"ENSG00000184163.3"	1.26140647554124	1.08352329333764	1.18290538064253	1.0416604950664	1.18292771735186	1.05561317788273	0.722444765124705	0.827140807759535	0.795762342439089
"ENSG00000160087.21"	1.26147707716323	1.08353659524697	1.18296930254123	1.04166834143304	1.18296860774344	1.05562415229333	0.722409476352157	0.827090948102539	0.795710103628203
"ENSG00000230415.1"	1.25645370293512	1.08087054000007	1.1791231547414	1.0383506792156	1.17868761060912	1.05282327105152	0.723195029489535	0.827277464081516	0.810057392126286
