"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"ENSG00000228423.2"	9	6	11	5	6	11	8	1	5
"ENSG00000074800.16"	7735	5792	4826	11358	7027	7582	7569	5835	5324
"ENSG00000230679.1"	13	29	13	4	1	2	7	2	0
"ENSG00000197241.3"	75	72	27	190	55	56	120	75	45
"ENSG00000142583.18"	12672	13076	3504	28031	15904	11093	20390	13415	6370
"ENSG00000180758.12"	1960	1783	1272	4972	2697	2593	3135	2517	3670
"ENSG00000228526.7"	396	339	427	247	207	232	178	220	249
"ENSG00000234546.4"	32	17	35	3	12	16	6	1	10
"ENSG00000049239.13"	1792	1540	2033	960	1038	927	563	690	896
"ENSG00000171621.14"	472	457	396	791	381	381	400	386	365
"ENSG00000171612.7"	209	154	167	208	208	215	200	152	162
"ENSG00000231181.1"	8	5	8	7	6	3	4	3	7
"ENSG00000188807.13"	658	445	558	447	391	444	369	371	275
"ENSG00000171608.16"	45	29	20	32	26	21	18	17	30
"ENSG00000231789.2"	24	8	7	16	13	8	20	11	10
"ENSG00000171603.18"	5349	4654	5059	4117	3921	3610	2840	3032	2585
"ENSG00000178585.15"	204	182	183	162	114	176	137	129	84
"ENSG00000162441.12"	745	693	813	513	663	687	370	495	511
"ENSG00000228150.1"	24	9	13	7	18	6	1	5	6
"ENSG00000173614.14"	104	101	102	38	83	60	55	78	39
"ENSG00000202415.1"	41	32	34	19	23	20	11	15	9
"ENSG00000130939.20"	2036	2234	2400	1540	2288	1845	998	1458	1270
"ENSG00000233623.2"	9	15	18	5	5	6	6	3	5
"ENSG00000201746.1"	18	10	6	6	3	9	5	9	3
"ENSG00000054523.18"	1748	1926	2333	1415	2306	1664	804	1415	1394
"ENSG00000284642.1"	22	14	13	6	6	12	5	13	10
"ENSG00000142657.21"	990	700	762	978	790	908	686	574	517
"ENSG00000175279.22"	14	6	6	0	4	10	7	1	2
"ENSG00000160049.12"	1270	1184	1154	1276	1256	1069	919	987	765
"ENSG00000142655.13"	387	419	450	582	614	474	437	401	298
"ENSG00000130940.15"	861	849	680	1011	995	832	642	786	584
"ENSG00000120948.18"	539	486	713	477	711	638	303	529	581
"ENSG00000271895.2"	33	44	37	9	10	19	7	22	11
"ENSG00000116649.10"	610	373	465	483	335	395	285	286	237
"ENSG00000171824.14"	680	662	896	582	854	744	382	573	603
"ENSG00000226849.1"	19	25	22	3	9	9	4	3	4
"ENSG00000198793.13"	1199	1527	1571	720	1281	937	351	794	721
"ENSG00000120942.14"	497	381	364	380	348	313	287	264	225
"ENSG00000204624.8"	21	37	33	13	19	21	8	25	9
"ENSG00000116661.11"	1615	1447	1110	1636	1259	1199	1331	919	727
"ENSG00000132879.14"	481	522	464	433	468	404	344	336	279
"ENSG00000116663.11"	469	400	354	513	396	408	457	305	263
"ENSG00000116670.15"	362	274	276	422	322	335	331	248	202
"ENSG00000177674.16"	233	168	182	172	144	148	163	131	88
"ENSG00000177000.13"	1369	1196	1088	734	772	579	522	524	500
"ENSG00000011021.23"	1276	1368	1066	1187	1328	1045	892	1049	923
"ENSG00000116685.16"	4718	5037	3724	3739	3754	3626	2765	3128	1889
"ENSG00000083444.17"	2120	2090	1738	2537	2014	1764	1940	1550	1044
"ENSG00000116688.18"	2277	2574	1941	3809	3793	3004	2551	2598	2171
"ENSG00000116691.11"	328	292	253	272	250	229	204	213	183
"ENSG00000028137.19"	144	116	113	155	92	120	60	108	79
"ENSG00000048707.15"	808	576	881	403	752	465	248	400	427
"ENSG00000239149.1"	12	10	22	14	18	12	13	25	11
"ENSG00000162496.9"	1417	1460	1329	974	1081	1053	798	869	573
"ENSG00000221340.1"	16	17	16	4	5	4	3	2	2
"ENSG00000272482.1"	20	15	22	12	3	2	6	5	5
"ENSG00000116731.22"	645	685	769	539	841	662	297	490	512
"ENSG00000189337.17"	287	228	159	310	174	167	159	152	99
"ENSG00000175147.13"	234	308	175	110	188	205	115	183	75
"ENSG00000171729.14"	594	677	498	347	511	394	350	353	208
"ENSG00000142634.13"	360	258	274	314	253	226	200	209	137
"ENSG00000132906.18"	294	266	291	2121	2075	3012	3502	2595	3663
"ENSG00000116138.13"	755	887	1098	599	851	874	355	684	695
"ENSG00000272510.1"	16	27	14	11	14	17	12	18	14
"ENSG00000116771.6"	1146	1013	948	874	973	913	608	731	619
"ENSG00000235084.3"	9	11	9	3	7	3	0	4	1
"ENSG00000197312.12"	952	822	1025	624	985	1018	552	601	800
"ENSG00000116786.13"	979	894	801	1050	755	666	545	531	722
"ENSG00000162461.8"	35	20	24	3	11	10	5	17	5
"ENSG00000162460.7"	245	200	186	205	185	166	187	119	120
"ENSG00000162458.13"	283	219	235	327	189	165	160	133	227
"ENSG00000233954.6"	23	24	11	17	9	16	22	19	16
"ENSG00000179743.4"	100	73	84	58	97	60	72	69	42
"ENSG00000065526.12"	2716	1927	2411	2493	2689	1665	1192	1676	1879
"ENSG00000116809.12"	183	148	151	182	185	154	157	164	108
"ENSG00000185519.9"	37	61	26	60	22	37	41	54	37
"ENSG00000142627.13"	2075	998	975	5358	2967	2279	2850	2421	3582
"ENSG00000227959.1"	121	73	56	172	107	74	120	85	114
"ENSG00000224621.1"	123	62	55	194	136	73	130	65	144
"ENSG00000142632.17"	118	92	109	60	71	65	59	71	38
"ENSG00000288398.1"	14	20	27	13	9	13	5	8	6
"ENSG00000132881.12"	16	15	12	3	3	5	6	2	1
"ENSG00000037637.11"	712	751	664	679	829	841	520	641	543
"ENSG00000055070.17"	2013	1806	1637	2560	2135	2314	1920	1702	1432
"ENSG00000157191.20"	374	384	366	357	376	358	245	286	268
"ENSG00000226029.1"	65	40	74	18	40	43	28	51	41
"ENSG00000080947.15"	215	199	225	62	125	86	51	62	130
"ENSG00000219481.10"	663	684	874	195	444	329	163	321	213
"ENSG00000215908.10"	732	734	664	384	574	469	461	378	348
"ENSG00000186301.8"	126	114	86	103	92	67	83	75	79
"ENSG00000268869.6"	18	35	14	18	11	15	5	10	4
"ENSG00000279151.1"	14	20	12	6	15	3	4	6	8
"ENSG00000058453.17"	52	55	38	29	37	40	23	31	29
"ENSG00000186715.11"	6	7	10	8	9	8	5	1	7
"ENSG00000238142.2"	12	11	13	5	5	7	4	5	11
"ENSG00000272426.1"	6	12	10	5	3	7	5	1	6
"ENSG00000117122.14"	109	51	108	103	79	96	86	79	55
"ENSG00000159363.19"	870	691	767	538	442	390	308	326	290
"ENSG00000117118.10"	1622	1476	1454	1431	1415	1501	1042	1044	860
"ENSG00000117115.13"	98	88	220	48	70	115	46	56	79
"ENSG00000142623.11"	7	4	6	10	6	5	4	3	1
"ENSG00000179051.14"	1182	918	1088	888	876	1084	765	676	642
"ENSG00000074964.17"	1743	1964	2177	942	1361	1318	974	1111	906
"ENSG00000179023.8"	324	366	388	160	239	218	241	212	111
"ENSG00000159423.17"	146	130	98	127	116	105	91	71	73
"ENSG00000169991.11"	592	521	525	370	385	391	303	413	198
"ENSG00000272084.1"	18	23	24	6	5	9	8	5	6
"ENSG00000127481.15"	5725	7048	8879	5009	9154	4627	2437	5292	4988
"ENSG00000230424.1"	10	11	6	9	8	18	9	14	6
"ENSG00000127463.15"	1859	1700	1795	1715	1665	1604	1258	1339	1128
"ENSG00000053372.5"	315	228	287	249	274	246	205	186	170
"ENSG00000211454.15"	53	51	39	27	37	44	55	47	28
"ENSG00000162482.5"	60	54	54	29	65	42	33	43	41
"ENSG00000053371.12"	684	621	643	634	625	551	481	517	341
"ENSG00000200403.1"	22	22	32	18	28	17	15	22	13
"ENSG00000040487.13"	999	938	693	1003	904	828	755	750	446
"ENSG00000077549.19"	2306	2049	1970	2691	2157	2251	2070	1955	1754
"ENSG00000173436.15"	80	95	153	45	88	77	41	43	56
"ENSG00000158747.15"	183	150	232	260	169	233	187	149	182
"ENSG00000226396.1"	25	21	26	16	23	18	11	16	33
"ENSG00000162542.13"	286	249	298	316	239	274	261	192	177
"ENSG00000178828.7"	132	159	79	517	342	252	206	171	250
"ENSG00000169914.6"	180	159	195	118	208	207	130	151	160
"ENSG00000188257.11"	8	9	16	23	28	19	21	1	7
"ENSG00000284743.1"	28	34	34	8	6	15	4	6	7
"ENSG00000162545.6"	5085	4166	4636	4660	4068	3514	2648	2770	2689
"ENSG00000090432.7"	652	691	435	528	673	459	368	476	266
"ENSG00000158825.6"	163	193	98	292	182	160	157	120	105
"ENSG00000158828.8"	859	953	571	723	758	593	510	483	327
"ENSG00000117242.7"	323	301	315	241	222	192	194	222	156
"ENSG00000244038.11"	2746	2499	2494	2703	2297	2364	1987	1896	1610
"ENSG00000117245.12"	15	12	6	14	7	15	11	8	2
"ENSG00000189410.12"	22	27	17	28	26	25	23	29	17
"ENSG00000127483.19"	2576	2563	2951	2135	2762	2730	1466	2065	2198
"ENSG00000075151.20"	1480	960	1424	883	1198	969	567	765	905
"ENSG00000236073.2"	11	11	10	1	4	7	2	2	5
"ENSG00000117298.16"	3067	3263	2790	3049	2948	2694	2348	2342	1712
"ENSG00000142794.18"	153	109	147	77	84	93	53	43	63
"ENSG00000076864.19"	758	562	461	657	525	436	456	374	344
"ENSG00000090686.16"	510	428	603	341	582	454	204	338	310
"ENSG00000187942.12"	27	5	4	0	0	19	4	0	0
"ENSG00000142798.20"	11048	8251	9782	7376	7025	7248	6261	5000	5407
"ENSG00000218510.8"	108	95	137	21	30	15	16	24	10
"ENSG00000070831.17"	3113	2914	3174	3474	3221	3479	2251	2428	2528
"ENSG00000230068.2"	64	51	73	54	41	35	21	35	39
"ENSG00000184677.18"	1435	1983	1856	1120	1882	1478	680	1413	942
"ENSG00000237200.1"	12	22	17	4	18	13	9	14	9
"ENSG00000070886.12"	28	6	11	23	9	16	26	9	6
"ENSG00000133216.16"	74	45	71	46	53	42	18	32	28
"ENSG00000004487.17"	929	841	997	825	1113	1129	542	738	648
"ENSG00000169641.13"	324	416	480	481	693	504	231	431	455
"ENSG00000179546.4"	85	90	61	59	89	58	41	71	56
"ENSG00000261326.4"	217	115	198	29	58	85	18	52	33
"ENSG00000125944.21"	952	658	860	556	772	713	360	449	567
"ENSG00000125945.15"	99	98	156	55	139	89	28	92	60
"ENSG00000249087.7"	35	59	86	23	13	28	9	24	25
"ENSG00000271420.1"	5	9	18	5	1	4	2	2	1
"ENSG00000204219.11"	300	300	366	97	135	180	91	138	93
"ENSG00000088280.19"	86	67	89	56	50	54	61	39	38
"ENSG00000007968.7"	25	9	35	24	13	30	8	12	22
"ENSG00000117318.9"	13	7	9	34	38	31	25	20	18
"ENSG00000142676.14"	1562	1313	1371	1209	1537	1754	1138	1047	1280
"ENSG00000236810.6"	134	150	166	57	106	113	65	100	69
"ENSG00000011007.12"	531	516	567	355	490	481	278	386	367
"ENSG00000057757.10"	372	321	332	413	415	400	369	359	321
"ENSG00000011009.11"	738	574	558	738	736	589	556	544	425
"ENSG00000117308.15"	1054	764	701	942	845	677	551	477	586
"ENSG00000117305.15"	362	353	393	323	296	300	240	211	180
"ENSG00000179163.12"	968	984	1041	926	1068	915	674	693	634
"ENSG00000189266.13"	683	443	714	513	715	757	270	409	673
"ENSG00000188529.15"	1204	890	1438	780	1118	1030	480	631	886
"ENSG00000142661.19"	360	342	384	199	220	233	178	159	190
"ENSG00000142677.4"	1314	1126	956	1396	1082	1092	935	841	709
"ENSG00000185436.12"	897	1033	663	2076	1815	1452	1331	1171	1100
"ENSG00000001460.18"	102	106	113	98	97	103	74	75	67
"ENSG00000001461.17"	441	432	682	211	305	333	189	226	203
"ENSG00000286061.1"	23	13	22	12	13	9	9	8	8
"ENSG00000117602.12"	441	433	549	367	446	462	192	274	321
"ENSG00000264443.1"	24	25	55	17	24	23	22	18	14
"ENSG00000184454.7"	143	91	116	201	125	157	92	123	96
"ENSG00000133226.17"	1852	1658	2021	2030	2600	1939	1181	1564	1605
"ENSG00000169504.15"	976	846	1400	854	1113	1111	470	624	1157
"ENSG00000020633.19"	31	31	18	24	31	25	14	28	32
"ENSG00000117614.10"	84	84	91	64	66	53	44	34	44
"ENSG00000284602.1"	96	101	127	9	11	7	8	12	12
"ENSG00000284657.1"	14	16	17	0	1	3	0	0	1
"ENSG00000117616.18"	699	831	1051	469	751	677	332	594	531
"ENSG00000259984.1"	7	6	10	6	6	8	0	5	0
"ENSG00000183726.11"	1466	1377	1380	1162	1157	1116	812	958	751
"ENSG00000188672.19"	12	2	5	8	5	2	5	4	6
"ENSG00000204178.11"	347	350	435	342	347	329	196	293	265
"ENSG00000157978.12"	417	471	372	316	392	360	288	291	175
"ENSG00000117643.14"	422	429	736	89	174	242	103	129	111
"ENSG00000162430.17"	1753	1576	2257	1379	1346	1411	985	1037	952
"ENSG00000228172.5"	46	41	51	6	10	18	12	12	7
"ENSG00000117640.18"	434	526	518	302	417	399	320	351	209
"ENSG00000127423.11"	9	11	13	3	5	8	6	6	13
"ENSG00000236528.1"	11	18	13	1	6	1	6	0	4
"ENSG00000182749.6"	716	578	716	472	475	526	367	311	308
"ENSG00000207302.1"	21	6	11	10	9	11	6	8	7
"ENSG00000117632.23"	122	89	194	128	114	152	90	94	111
"ENSG00000158006.14"	540	605	539	358	482	403	295	309	208
"ENSG00000158014.15"	112	82	63	151	74	78	102	40	48
"ENSG00000284309.1"	39	34	28	14	16	5	9	12	3
