"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"AGRN"	13.4868645760899	13.5121804019231	13.4731298205265	12.8471276748033	12.9160507856089	13.04621294016	13.0999035821368	13.0440385754516	12.9128940775181
"LOC100288175"	7.44744013295715	7.79643638321647	7.34888574347212	8.79844630246939	8.63320379376945	8.21114086287073	8.24020189520178	8.43596506151838	9.03313115922515
"ENSG00000273443"	6.38333970477467	6.36886915199789	5.93262520758102	5.92734158255396	6.31029515162752	6.09447309391793	6.31824770433871	6.13431943303325	6.39466686236344
"RNF223"	6.52249457005293	6.69907204419702	6.57143208795175	7.85912395502123	7.64748786224387	7.71214782202933	7.72883860358382	7.96489287018691	7.90202380697394
"C1orf159"	6.80022221128657	7.08879243953063	6.86457859341701	7.06589453942074	7.09184731033685	6.83429899161981	6.83987408966209	6.71380183500956	7.17918088636254
"LINC01342"	6.35144348842774	6.75799614864605	6.3643243823072	6.09164060616327	6.23574130643302	5.91035330912463	6.12925619966764	5.98612660886131	6.45301720157775
"MIR200B"	5.65229919594393	5.9059243032442	5.86397485451613	5.46721234002598	5.51606655266937	5.70867668157899	5.84567477412345	5.73512472484263	5.56268030811121
"MIR200A"	5.45034322986103	5.90851612806514	5.47531660062525	5.24879890830621	5.48898589599302	5.23215144316947	5.45201962329629	5.16256379337913	5.64186924268877
"MIR429"	5.68318980724397	6.09088127582119	5.59447972626726	5.21812487454111	5.05749072670507	5.32679929659408	5.28605198160368	5.40776917045237	5.43064577537071
"ENSG00000272141"	7.08540770266605	7.49895496520259	6.8102237199518	6.56947254882345	6.65297362602563	6.5614923220597	6.710278364511	6.70629623355391	7.05676794824509
"SDF4"	11.7882680693157	11.8603160730692	11.8794954780275	11.6549573868291	11.6629537240834	11.5713445495253	11.5923847514148	11.5444310646936	11.6503634325385
"B3GALT6"	9.56692010322543	9.46545392368501	9.49092182754737	8.83022355038621	8.55745149200215	8.64020226692904	8.4540050104339	8.74343747851598	8.66675329249421
"C1QTNF12"	8.21074389246887	8.55183703557669	8.2001003018372	8.14507046260755	8.25220312183995	8.53317767981506	8.45006857254769	8.16666157342176	8.2824922288981
"UBE2J2"	9.30554901962014	9.2381171912562	9.31460726328192	9.03032899153685	9.0813327144199	9.33055191422815	9.36682377702187	9.33684328840724	9.02139016287193
"ENSG00000230415"	5.75794668401783	5.7623824016624	5.86911689813236	5.25378269180652	5.5664391436909	5.60006049389704	5.89323072379953	5.63657327022494	5.42285794377567
"SCNN1D"	7.76030669059217	7.95191750752975	8.04439626014107	7.86182297797297	8.06527942791746	7.92673244228136	8.17944239748099	7.9302627567071	7.97833927930528
"ACAP3"	10.553187759524	10.5360059958087	10.3265476964684	10.2002621431063	10.3293138266398	10.2899880735728	10.4500563762111	10.479664719766	10.4536257596861
"PUSL1"	8.68692461061196	8.66464245685921	8.4554500731757	8.46879765560515	8.36296225332065	8.62051180491481	8.42821251564131	8.52719728452771	8.45822495152848
"INTS11"	9.81833902839992	9.74265538810431	9.79936554139728	9.71892191258611	9.91058311447108	9.80926652561998	9.97619640849897	9.86189736116282	9.82794576339192
"ENSG00000240731"	6.30749311428785	6.66686454893492	6.54572586944849	6.39571597707004	6.61720220883622	6.72578094919041	6.76131332354375	6.30934282091001	6.48319451122589
"CPTP"	9.78460565508072	9.84596962844103	9.73735708127208	9.26803005275982	9.02642479923878	8.91444050379915	8.95230219663911	9.30850531285371	9.32196335392502
"TAS1R3"	5.86413486768172	5.99710820149379	5.8573078254063	5.82266131605487	5.80399823326394	6.10895607158652	5.97962224952233	5.88273143922573	5.80570347630149
"DVL1"	10.2906130609269	10.2296020072037	10.0650925996337	10.0758736903072	9.96518301076573	10.0103544879988	9.89505330517865	10.0626765021762	10.0925957022563
"MXRA8"	9.48711911410482	9.26083368751199	9.4889885119654	8.98869732761919	9.2391421716854	9.27617787659713	9.35622992335211	9.12961822417599	8.95877294614021
"AURKAIP1"	9.32542996173824	9.42118514368823	9.3116542608867	9.25246161595964	9.34049593957956	9.42435986316323	9.30085577431116	9.07571906252841	9.23861981294623
"CCNL2"	10.9902345115677	11.1316009710581	11.0907017381155	10.7677941962788	10.9989338260188	11.0214940319456	11.3390663663083	11.1804390498191	11.0182672736211
"MRPL20-AS1"	7.38406814029106	7.27123852722159	7.25628154440674	6.63234650262699	6.64706230593503	6.30773990151982	6.54469943912752	6.76956859451919	6.81304671477793
"MRPL20"	9.20544540898785	9.07694179797994	9.01429257887336	8.9420855552304	9.05609044887655	9.03781911802587	9.10512433893364	9.10281104443723	9.05391006385645
"ENSG00000272455"	7.45417706021899	7.24180918647447	7.161695222864	6.23784538607452	6.2114696338634	6.12175625630528	5.91494602583066	5.96585878942942	6.16934061537922
"VWA1"	9.88280570841254	9.99026079278801	9.97126260932107	9.64025612573433	9.70375552399181	9.81303467564664	9.91577384763162	9.84341920255796	9.71666353126186
"ATAD3C"	6.00410911834051	5.60425114298136	5.9953727033842	5.49383166096148	5.88995178825576	5.62770610052157	6.33368415390843	6.40266363612903	5.81723777258984
"ATAD3B"	8.70574733886978	8.69705149787718	8.60431913085451	8.45678880356356	8.67307292076294	8.70247838732142	8.86886211610446	8.73569512480455	8.65305657900978
"ATAD3A"	8.10515357052196	7.83929127689536	7.96468772556684	7.85515805064059	7.9341023995902	7.73725000552253	7.76641212942153	7.79874834883239	7.83665585596744
"TMEM240"	5.51506633218738	5.71338604886154	5.37923063145926	5.16470998509927	4.46474965284241	4.97464314291636	4.93853918731258	5.86122131970628	5.23387102278403
"SSU72"	10.7691306420107	10.765022374962	10.6853190787926	10.6345951315626	10.671144728377	10.7485118715154	10.7382104175117	10.7141996256355	10.6818300882496
"ENSG00000215014"	5.84248760037706	5.99271868901637	5.80694219361951	5.35353089044832	5.53324932117529	5.58337876058527	5.65844527738561	5.44580158031533	5.5242629729817
"FNDC10"	6.1468089057485	6.10087336036536	5.92746540120329	5.98573986745263	5.83543327968589	6.02803878123797	6.03108859921742	6.33051028754635	6.07976466896445
"ENSG00000272106"	6.93704918843698	7.20246041045014	6.8738714374765	6.6402924576433	6.78982185399473	6.47387479022519	6.90265010651533	6.96500802336441	7.11714142832797
"MIB2"	9.15880897373392	9.25806920250206	9.07638238665231	8.67270131402029	8.82582644611223	8.96013353565651	9.16945408633962	9.11858011491969	8.93218508869002
"CDK11B"	7.58796141361011	7.67537232333999	7.60422012558338	7.70681337693476	7.72319551355917	7.50378254313117	7.66672589148882	7.73312063146367	7.85130117966252
"SLC35E2B"	10.5461899748585	10.7558286287815	10.7536210075372	9.83083820617978	9.88393067290742	9.86070956342788	10.016956981878	9.92676741729912	9.9200283933286
"CDK11A"	6.28993111701789	6.16659864484716	6.31728579578806	6.20795054432618	6.22765972365222	6.23748311672731	6.35426838023967	6.43068344072858	6.20898173257074
"ENSG00000268575"	8.16856582992304	8.3974435492944	8.44117829514357	7.61078733377399	7.55692219302175	7.42935512040043	7.52478134229673	7.50639412077664	7.6154944761339
"SLC35E2A"	11.0315387997252	11.0897068176032	11.2129749751226	9.9355313594575	10.0785169420946	10.1021467239711	10.2921646732569	10.1515072492809	9.99821412393854
"NADK"	10.0146159079362	9.9634169664444	10.0464355585787	9.68345492592894	9.78182420771764	9.70482228545898	9.80942452298812	9.75155098760866	9.7202382022844
"GNB1"	12.0620736086817	12.1215019745028	11.9206857118558	12.1824833472938	12.0539924463318	12.079561782767	11.9825552575192	12.1259541514738	12.2182488049481
"ENSG00000231050"	6.58998007665718	6.97221416070838	7.09442031760484	6.49709616385326	6.00745387876842	6.18197650435082	5.95035262776104	6.16246484189984	6.16353306147561
"TMEM52"	6.64229506353708	6.62589557721691	6.6409027098008	6.48510736833608	6.48103821873844	6.58092306447845	6.59281979686423	6.61133286195615	6.48505522890474
"CFAP74"	5.59266669541871	5.54439240784828	5.49843493603989	5.62724519170576	5.80665394414702	5.94222673438516	5.74924265049749	5.41686104310763	5.55569859946781
"LOC105378591"	5.26473181177953	5.55313914958216	5.86421426703011	5.36533831647173	5.37953423639535	5.28622730968932	5.485200288534	5.31043830257441	5.27707143999281
"PRKCZ"	10.0745601486194	10.2153292030164	10.1091085666418	9.95498617571401	10.0782128933947	10.099781715006	10.147076546536	9.96677204340615	10.0521899673913
"PRKCZ-AS1"	5.20685636263694	5.61203593136978	5.41565825836714	5.53812920956995	5.45784280134245	5.7223675115329	5.68724342302248	5.59252277840032	5.58091818210174
"FAAP20"	8.23194587119558	7.86355913156237	8.15459224564248	7.95321539183333	8.09890849229558	8.00005967583609	8.07366123608336	8.04871344773583	7.88233879333289
"SKI"	11.3195937520845	11.4029744655378	11.2552131616938	10.8130504245339	10.4819719128162	10.3466458406151	10.3462406672579	10.7971433160341	10.8516511998222
