"4UIN"	"4UIWT"	"490WT"	"490N"	"4180N"	"4180WT"	"5UIN"	"5UIWT"	"545WT"	"545N"	"590WT"	"590N"	"5180N"	"5180WT"	"6UIWT"	"645WT"	"645N"	"690WT"	"690N"	"6180N"	"6180WT"	"445N"	"445WT"	"Gene_ID"
66	9	13	6	10	118	6	3	15	0	42	5	50	241	14	13	4	31	6	88	341	2	9	"E2348C_0058"
14	5	6	8	6	54	6	3	0	1	24	4	16	81	3	1	0	20	7	20	112	0	2	"E2348C_0059"
93	18	45	10	18	318	5	10	16	5	107	3	71	413	36	17	7	44	14	98	702	6	11	"E2348C_0060"
56	3	13	3	6	76	7	5	4	2	18	3	24	102	25	2	1	12	8	33	186	0	2	"E2348C_0061"
5	2	1	1	0	18	0	0	0	0	3	0	9	22	8	3	0	1	1	9	42	0	1	"E2348C_0063"
18	1	6	2	4	35	0	2	3	0	9	4	17	59	0	2	0	2	0	27	88	0	0	"E2348C_0065"
4	1	3	5	2	12	0	0	0	0	6	0	11	33	2	0	0	2	1	21	32	0	0	"E2348C_0067"
457	71	229	99	54	1152	28	33	27	7	393	19	240	2076	227	58	21	201	31	609	2870	16	86	"E2348C_0068"
7	3	14	2	0	36	4	1	2	0	16	2	11	78	6	3	0	5	1	39	110	0	4	"E2348C_0069"
41	3	8	7	5	114	2	1	3	0	18	4	15	150	17	3	2	15	1	29	174	2	1	"E2348C_0070"
19	2	6	4	3	41	0	2	0	0	8	4	17	53	12	1	0	0	1	19	97	0	2	"E2348C_0071"
3	1	2	1	3	25	1	1	0	1	12	1	10	32	1	0	0	4	0	15	91	0	0	"E2348C_0073"
7	1	6	3	0	41	0	0	1	2	11	0	17	81	4	2	0	4	0	10	128	0	8	"E2348C_0074"
11	1	1	1	1	30	0	0	2	1	8	0	12	42	11	2	1	4	0	6	74	1	3	"E2348C_0075"
25	4	3	1	0	38	1	0	0	3	9	0	13	47	7	2	2	5	1	8	80	3	3	"E2348C_0076"
19	7	4	8	2	18	10	4	7	0	26	4	22	49	2	4	0	11	2	28	64	8	7	"E2348C_0077"
14	5	0	1	3	54	0	3	1	3	11	1	26	50	8	2	2	5	0	19	94	0	6	"E2348C_0078"
31	6	17	5	9	92	10	5	14	1	33	1	48	148	15	15	5	13	2	54	240	2	25	"E2348C_0079"
298	52	41	34	20	516	104	105	26	22	76	10	36	309	727	26	6	74	31	79	313	12	57	"E2348C_0080"
120	20	51	18	10	261	8	9	12	1	70	6	57	462	17	20	4	70	4	106	605	3	28	"E2348C_0081"
69	14	4	3	7	36	0	13	4	0	22	0	37	105	18	2	2	6	1	28	129	1	5	"E2348C_0082"
38	3	0	4	0	21	7	4	0	1	7	0	8	32	8	5	2	3	0	4	63	0	1	"E2348C_0083"
581	95	103	46	39	505	50	45	14	2	196	23	279	1048	142	20	13	71	13	325	1761	12	42	"E2348C_0085"
219	45	49	20	19	280	35	22	11	3	109	4	107	455	68	12	5	59	12	154	698	5	40	"E2348C_0086"
128	20	16	8	14	175	18	25	5	1	57	8	66	267	30	8	6	14	4	121	471	7	24	"E2348C_0087"
