"4UIN"	"4UIWT"	"490WT"	"490N"	"4180N"	"4180WT"	"5UIN"	"5UIWT"	"545WT"	"545N"	"590WT"	"590N"	"5180N"	"5180WT"	"6UIWT"	"645WT"	"645N"	"690WT"	"690N"	"6180N"	"6180WT"	"445N"	"445WT"	"Gene_ID"
109	17	26	12	9	148	25	16	6	0	29	2	57	217	55	12	3	22	6	86	362	0	19	"E2348C_1295"
57	6	17	5	1	168	4	5	2	0	19	7	14	132	21	6	0	8	1	72	262	4	9	"E2348C_1296"
68	8	11	4	8	417	4	7	5	0	17	4	88	475	11	4	0	10	3	285	254	3	1	"E2348C_1297"
59	10	20	6	6	161	3	11	2	1	33	6	22	245	12	3	4	29	2	72	282	1	14	"E2348C_1298"
69	14	24	18	3	137	8	3	0	3	58	4	62	266	8	16	3	41	5	121	528	0	5	"E2348C_1299"
32	9	28	3	2	89	5	2	5	1	40	2	27	165	9	2	0	9	2	67	286	2	16	"E2348C_1300"
8	3	3	2	2	19	2	2	0	0	2	0	3	25	8	0	1	3	2	9	28	0	0	"E2348C_1302"
5	2	5	0	1	10	4	0	0	3	5	0	7	35	4	0	0	1	0	12	57	0	5	"E2348C_1303"
118	16	46	17	18	258	13	12	11	6	83	9	60	419	54	16	2	44	11	140	812	1	18	"E2348C_1304"
105	12	13	4	5	114	14	8	1	1	41	3	36	161	51	0	0	14	4	50	254	1	7	"E2348C_1305"
127	23	64	21	6	186	11	10	13	0	80	8	82	405	43	14	8	33	3	128	686	7	23	"E2348C_1306"
40	6	9	8	1	35	1	4	2	0	14	2	26	95	7	1	3	6	0	13	149	1	0	"E2348C_1307"
17	7	5	8	1	18	0	1	0	1	11	0	9	61	6	1	0	6	0	18	79	0	0	"E2348C_1308"
9	1	5	4	0	26	5	1	0	0	7	0	8	28	4	0	1	5	1	6	52	1	6	"E2348C_1309"
188	21	30	19	27	197	30	15	11	3	66	4	68	389	93	6	11	21	9	107	535	6	19	"E2348C_1310"
119	20	18	8	8	148	4	6	9	5	38	1	33	275	46	6	1	31	3	48	386	7	26	"E2348C_1311"
19	4	6	4	2	46	4	1	0	2	15	5	27	131	11	1	0	11	2	44	192	0	4	"E2348C_1312"
40	6	6	5	0	26	6	3	0	1	6	1	11	44	4	0	3	6	0	14	83	1	0	"E2348C_1315"
119	25	11	2	2	63	8	4	3	0	14	5	37	167	27	3	8	11	0	49	338	0	5	"E2348C_1322"
15	5	0	2	0	10	1	4	0	0	4	0	11	26	9	0	0	0	0	8	67	0	0	"E2348C_1323"
65	9	12	2	2	30	2	8	0	0	7	1	9	56	22	1	0	6	1	15	106	1	8	"E2348C_1324"
11	1	2	4	5	28	1	2	2	1	10	3	15	57	1	0	0	8	2	19	97	0	3	"E2348C_1325"
445	96	157	74	55	835	32	24	37	6	357	40	320	1363	141	37	8	174	22	644	2531	19	63	"E2348C_1326"
48	7	16	12	5	109	2	6	6	1	40	2	51	235	31	12	0	16	5	68	383	3	9	"E2348C_1327"
130	18	7	4	3	59	1	11	0	0	18	1	15	137	39	9	1	2	1	20	184	1	7	"E2348C_1328"
219	26	10	5	4	68	17	20	1	2	43	1	52	218	54	2	0	7	1	75	342	1	7	"E2348C_1329"
1199	176	168	66	56	1155	102	126	26	11	357	43	447	1697	373	32	16	145	21	554	3596	26	117	"E2348C_1330"
829	98	113	51	42	704	53	84	30	6	173	12	167	1151	200	43	13	124	20	325	2111	10	65	"E2348C_1331"
38	2	4	6	4	63	0	1	0	0	12	0	15	86	6	0	0	4	0	22	115	3	1	"E2348C_1332"
305	54	98	47	44	794	30	21	14	3	255	17	239	1393	130	19	11	125	28	399	2411	15	65	"E2348C_1333"
93	17	17	6	8	96	12	7	2	0	43	5	44	227	61	8	0	17	6	50	312	1	2	"E2348C_1334"
77	17	3	3	6	70	8	9	2	1	16	4	29	128	56	4	0	8	6	17	144	2	2	"E2348C_1335"
14	2	2	1	0	16	0	3	0	0	6	0	6	23	9	2	0	3	0	7	42	1	0	"E2348C_1336"
106	17	18	10	7	132	15	6	5	0	42	3	59	266	55	1	1	17	3	75	415	4	5	"E2348C_1337"
254	30	54	12	19	317	36	33	6	2	101	4	130	528	85	6	7	69	8	258	1160	3	32	"E2348C_1338"
81	23	6	2	3	118	24	30	0	1	7	1	9	122	84	1	1	16	0	32	253	1	10	"E2348C_1339"
16	6	7	1	0	47	3	4	2	0	12	0	5	50	10	1	0	8	0	14	111	0	7	"EBG00001076516"
81	13	104	13	4	354	13	4	17	4	161	7	43	795	19	8	3	64	2	82	901	1	29	"E2348C_1340"
139	13	2	4	2	32	8	17	2	1	8	2	11	66	34	4	4	6	0	36	109	0	2	"E2348C_1341"
56	10	3	4	6	29	3	8	2	0	7	0	26	86	20	3	0	3	0	43	100	1	8	"E2348C_1342"
225	26	54	14	21	418	10	14	10	4	67	5	90	664	35	17	3	70	8	205	1358	5	21	"E2348C_1343"
15	5	5	1	1	25	4	0	0	0	2	2	1	23	6	0	0	1	0	3	30	0	2	"E2348C_1344"
13	0	8	3	2	43	1	2	4	0	10	0	17	76	4	0	0	4	0	29	173	2	5	"E2348C_1345"
94	13	37	14	11	211	2	12	6	1	54	4	39	305	29	4	3	31	8	108	497	3	14	"E2348C_1346"
23	5	5	5	2	45	1	1	0	0	3	0	12	54	2	0	0	7	3	19	101	0	3	"E2348C_1347"
5	0	1	0	2	37	2	4	0	0	1	0	22	90	4	0	0	1	1	22	118	0	0	"E2348C_1348"
5	1	0	2	1	31	3	0	0	0	4	0	18	62	1	0	0	1	0	17	87	0	0	"E2348C_1349"
11	0	0	2	5	22	2	0	0	0	0	1	17	76	3	0	0	4	0	25	115	0	1	"E2348C_1351"
13	5	6	2	1	33	0	1	0	1	11	0	7	34	10	3	0	7	2	11	78	0	9	"E2348C_1352"
23	10	142	38	27	1408	12	13	19	9	267	13	106	1083	44	33	10	195	18	284	1813	20	100	"E2348C_tRNA_27"
392	62	84	33	15	453	15	22	15	3	139	28	129	685	76	32	4	72	8	307	1477	6	58	"E2348C_1359"
140	28	49	26	17	288	16	12	3	2	73	8	54	356	57	12	7	51	3	103	538	3	10	"E2348C_1360"
93	20	12	8	8	104	15	5	4	1	21	2	29	199	38	6	0	7	3	29	206	1	8	"E2348C_1361"
91	16	8	7	4	114	16	4	5	4	20	2	22	188	41	3	3	15	11	24	297	4	2	"E2348C_1362"
403	72	103	45	37	665	34	35	25	1	219	23	218	1134	71	43	13	126	17	490	1986	15	47	"E2348C_1363"
10944	1543	1263	477	507	14268	252	512	360	102	1729	179	1620	15594	1872	365	130	1918	284	4208	26953	188	818	"E2348C_1364"
180	17	43	17	9	434	5	10	10	4	53	8	54	472	33	10	5	65	11	159	844	2	19	"E2348C_1365"
1433	177	79	53	46	1486	181	256	26	1	188	16	885	2766	299	12	3	79	14	1123	6498	8	37	"E2348C_1367"
85	9	29	10	4	187	5	14	5	2	44	1	48	258	54	6	3	30	7	82	434	2	8	"E2348C_1368"
485	60	82	36	27	527	37	32	14	4	150	15	419	1755	85	34	10	74	9	495	2604	4	58	"E2348C_1369"
19	2	4	2	4	62	3	5	3	0	11	0	27	108	8	2	1	7	5	36	238	5	4	"E2348C_1370"
30	6	9	9	10	70	3	7	7	0	22	4	57	172	24	1	0	5	8	66	295	0	4	"E2348C_1371"
32	4	12	7	10	106	6	6	1	3	22	2	72	196	11	4	1	11	5	54	308	3	9	"E2348C_1372"
36	5	7	6	6	44	0	6	4	0	20	4	47	171	15	3	0	4	0	50	291	1	1	"E2348C_1373"
129	20	45	5	10	249	8	7	6	0	50	3	37	322	26	12	1	24	10	97	716	2	17	"E2348C_1374"
133	18	14	11	5	130	24	9	5	4	21	8	47	143	34	3	3	10	8	59	295	1	1	"E2348C_1375"
1578	241	51	33	22	847	207	249	16	12	106	13	96	636	760	11	10	141	18	162	1301	9	31	"E2348C_1376"
592	81	60	22	14	517	38	60	6	6	90	13	62	540	244	15	3	60	5	180	885	11	26	"E2348C_1377"
1439	281	61	22	15	773	111	154	14	6	46	7	70	636	344	12	15	96	20	173	1356	11	71	"E2348C_1378"
343	45	25	9	6	181	19	35	5	0	27	5	62	255	93	9	1	12	2	73	379	4	29	"E2348C_1379"
81	18	29	25	14	315	12	14	6	12	71	7	51	408	23	11	1	69	3	112	676	1	13	"E2348C_1380"
119	21	24	15	6	101	9	9	8	1	39	4	25	207	38	8	2	8	3	53	323	4	16	"E2348C_1381"
151	31	28	9	12	99	25	22	2	0	39	3	40	218	86	5	3	22	13	72	342	3	15	"E2348C_1382"
128	23	3	1	17	262	7	8	0	0	6	0	118	593	30	0	1	1	0	196	1245	1	3	"E2348C_1383"
14	1	1	1	0	13	1	1	0	0	4	1	5	35	7	0	0	2	0	7	60	5	5	"E2348C_1384"
94	13	70	30	20	961	9	11	15	5	80	7	69	940	45	2	4	88	21	290	1585	1	15	"E2348C_1389"
14	1	7	0	2	40	1	1	0	0	13	1	11	118	5	1	1	8	3	23	140	1	0	"E2348C_1390"
5	2	6	2	1	35	0	1	1	0	8	0	7	93	0	2	0	3	2	34	95	0	3	"E2348C_1391"
197	23	48	24	11	260	15	20	8	0	56	3	59	474	62	11	6	38	14	159	510	5	26	"E2348C_1392"
42	4	39	13	13	254	0	5	11	1	77	5	53	435	15	5	2	50	9	177	689	2	15	"E2348C_1399"
40	4	24	7	4	189	6	7	2	5	31	1	22	199	13	9	5	30	4	71	405	2	24	"E2348C_1400"
567	44	99	22	22	950	56	71	17	0	139	12	118	1122	202	15	10	119	31	637	2201	8	52	"E2348C_1401"
74	5	16	7	2	197	3	7	3	4	36	3	24	184	23	1	0	134	11	126	445	1	7	"EBG00001076585"
5655	756	280	165	127	3488	193	494	117	47	476	64	420	4210	1759	123	37	903	69	1345	8170	63	329	"E2348C_1402"
12	4	5	5	0	53	1	4	0	2	9	1	14	78	13	0	0	9	1	18	129	1	7	"E2348C_1404"
11	3	0	0	1	11	6	0	1	0	1	0	4	16	13	0	0	7	0	8	31	0	3	"E2348C_1437"
9	0	4	3	1	30	0	2	4	0	9	0	3	40	7	2	0	3	0	8	40	0	0	"E2348C_1440"
83	11	123	20	29	787	8	4	9	1	221	10	98	1360	27	19	8	99	11	262	1546	5	52	"E2348C_1441"
113	29	275	8	17	1437	1	2	17	0	367	3	73	6325	14	8	1	178	2	219	6685	1	52	"E2348C_1442"
16	3	0	0	0	26	0	2	2	0	2	1	3	44	15	0	0	5	2	11	45	0	1	"E2348C_1443"
572	81	206	36	30	1142	23	47	29	1	311	11	171	1839	104	60	16	224	26	455	2584	10	68	"E2348C_1444"
441	34	105	15	13	544	17	38	18	3	118	4	70	1002	126	24	5	42	14	236	1352	7	38	"E2348C_1445"
9	2	6	0	3	17	0	1	1	0	6	1	5	24	9	0	0	1	0	13	42	0	0	"E2348C_1446"
21	3	4	3	5	29	1	2	0	0	11	1	20	64	14	0	1	10	0	13	90	0	0	"E2348C_1450"
22	3	3	7	3	23	2	2	1	1	6	4	18	57	13	0	0	4	0	7	78	1	7	"E2348C_1451"
28	2	8	7	4	48	3	1	0	0	4	3	22	66	22	1	0	6	2	24	117	3	3	"E2348C_1452"
12	3	5	1	9	42	1	0	1	0	16	1	29	66	10	0	1	11	0	15	129	0	4	"E2348C_1453"
7	2	7	1	4	39	2	5	1	0	14	2	31	74	3	0	2	4	2	16	127	0	5	"E2348C_1454"
9	1	11	5	10	61	0	2	1	1	8	0	10	55	0	1	0	12	1	3	46	0	0	"E2348C_1455"
79	11	23	12	10	125	3	9	5	4	32	2	35	204	43	6	3	17	11	59	345	2	4	"E2348C_1456"
38	10	9	1	2	47	5	6	2	0	17	0	25	117	13	4	0	8	5	36	169	0	12	"E2348C_1457"
51	3	13	1	1	69	0	4	1	0	22	0	21	152	39	5	3	12	0	22	211	6	16	"E2348C_1458"
324	44	75	32	27	469	26	21	15	3	228	17	233	1401	71	20	8	55	2	287	1698	15	56	"E2348C_1459"
39	6	3	4	3	37	7	8	1	1	8	1	17	58	6	4	2	5	5	34	138	1	12	"E2348C_1460"
47	8	6	0	3	52	4	8	0	0	10	3	19	77	6	2	2	3	1	22	169	0	6	"E2348C_1461"
231	45	45	10	19	251	33	15	13	1	81	8	79	467	48	11	5	22	7	183	680	4	39	"E2348C_1462"
391	65	110	29	20	689	14	25	21	3	146	4	76	770	84	27	5	124	12	171	1325	10	77	"E2348C_1463"
493	94	163	82	69	793	70	64	40	9	310	32	355	1578	156	55	14	171	37	538	2187	31	64	"E2348C_1464"
167	20	52	49	23	435	22	11	12	3	106	5	117	473	39	5	6	84	18	199	749	15	31	"E2348C_1465"
10	2	8	7	3	86	0	1	0	0	20	2	7	57	7	8	0	3	3	13	107	0	0	"E2348C_1466"
28	6	19	11	0	90	4	7	4	0	17	5	21	135	10	3	1	12	0	67	329	4	9	"E2348C_1467"
36	4	16	4	3	95	1	1	0	0	26	1	32	138	24	0	1	14	4	35	219	2	17	"E2348C_1468"
663	75	56	45	50	586	20	36	36	4	122	20	172	748	91	29	8	101	23	352	1266	17	41	"E2348C_1469"
77	15	25	5	5	149	4	4	4	2	29	0	50	195	25	6	3	16	3	89	304	2	6	"E2348C_1470"
198	31	37	22	19	302	15	23	12	1	66	4	61	438	115	23	7	44	5	136	783	4	33	"E2348C_1471"
278	48	52	21	19	278	35	14	3	0	113	17	124	588	102	11	3	42	10	239	1036	3	32	"E2348C_1472"
44	9	24	4	7	131	0	7	7	1	28	8	60	189	17	2	3	17	2	70	424	0	13	"E2348C_1473"
3	0	4	1	1	17	2	2	3	0	3	3	9	19	4	2	0	3	1	12	47	0	1	"E2348C_1474"
821	100	44	21	18	222	20	33	13	2	61	3	55	456	161	16	6	36	7	132	720	5	74	"E2348C_1475"
176	12	60	26	18	422	19	6	21	5	108	10	96	732	37	17	8	65	6	242	1119	6	41	"E2348C_1476"
154	31	24	18	9	199	11	25	1	4	33	5	35	258	86	4	3	18	12	60	384	5	15	"E2348C_1477"
14	4	13	7	6	30	2	3	3	1	13	6	21	153	0	4	0	8	0	23	131	0	0	"E2348C_1478"
390	55	182	71	41	785	31	42	36	5	349	30	351	1585	127	40	12	124	24	401	2366	10	85	"E2348C_1480"
16	2	8	11	3	79	0	2	0	0	24	0	26	103	1	0	8	6	3	34	176	4	7	"E2348C_1481"
886	148	363	118	83	1533	58	70	75	15	766	66	503	2539	160	84	33	219	21	988	6329	27	223	"E2348C_1482"
14	4	13	3	2	53	1	0	1	0	15	0	18	95	2	0	6	6	0	44	156	0	2	"E2348C_1483"
18	1	1	3	0	12	2	1	0	0	0	0	3	26	5	2	0	0	0	11	54	0	4	"E2348C_1487"
7	1	3	3	1	19	2	1	1	0	6	1	7	38	1	0	0	9	2	13	62	0	4	"E2348C_1489"
18	4	11	2	2	52	5	3	2	0	14	0	9	72	8	0	1	3	0	15	111	6	6	"E2348C_1490"
9	1	1	1	0	10	3	1	0	0	7	2	12	30	8	0	0	3	0	14	46	0	0	"E2348C_1491"
28	2	6	0	2	54	0	1	0	0	20	1	13	84	4	0	0	6	1	32	148	1	9	"E2348C_1492"
52	13	14	11	6	143	4	3	4	0	25	2	32	126	24	5	0	9	2	64	266	0	6	"E2348C_1493"
43	9	20	3	6	88	3	0	2	1	26	0	26	103	15	3	1	12	5	35	206	5	12	"E2348C_1494"
59	10	17	8	8	79	1	7	3	1	33	4	44	131	19	6	0	11	2	65	212	7	14	"E2348C_1495"
293	99	58	17	39	513	41	29	18	3	66	5	137	808	62	14	11	62	12	235	1154	7	21	"E2348C_1496"
120	21	13	7	8	126	1	4	3	0	18	1	29	212	12	3	1	8	0	68	551	1	1	"E2348C_1500"
34	6	16	0	1	83	2	4	3	0	24	0	22	136	15	1	2	19	3	39	223	0	6	"E2348C_1513"
39	7	4	10	9	52	16	6	1	1	8	0	35	65	17	8	1	9	5	44	139	1	6	"E2348C_1514"
22	8	5	1	1	22	0	5	2	0	7	4	27	44	13	0	2	2	0	33	70	0	1	"E2348C_1515"
171	33	33	8	11	228	18	20	5	2	59	6	77	274	37	20	9	32	6	99	511	3	16	"E2348C_1516"
1108	170	600	203	123	2512	36	44	70	9	946	77	588	3416	117	100	30	295	39	1344	7276	62	349	"E2348C_1517"
51	5	15	0	1	44	2	11	0	0	13	4	29	114	14	2	2	8	0	31	142	0	4	"E2348C_1518"
15	0	4	2	4	25	2	4	0	0	11	0	4	67	8	2	0	3	3	15	78	0	3	"E2348C_1519"
10	2	3	4	1	14	1	2	0	0	4	1	5	28	3	0	0	2	0	12	37	0	0	"E2348C_1520"
20	5	17	4	5	86	0	0	1	0	15	4	16	105	3	1	0	9	9	45	177	4	2	"E2348C_1522"
46	10	18	5	4	102	2	10	12	2	29	2	33	159	17	9	0	13	6	53	353	3	6	"E2348C_1523"
96	13	21	11	4	217	16	6	5	4	36	2	46	248	81	7	0	7	6	94	477	1	18	"E2348C_1524"
379	62	100	39	24	561	23	42	27	8	137	7	63	675	143	23	6	87	18	125	901	4	37	"E2348C_1525"
422	82	59	9	32	325	13	28	14	6	120	8	134	729	56	27	4	38	5	219	1263	6	51	"E2348C_1526"
1046	141	344	136	79	1735	72	89	54	13	591	59	659	2855	363	84	21	212	34	896	5816	19	252	"E2348C_1527"
34	6	14	3	4	55	1	6	2	1	34	1	47	127	13	5	3	5	1	25	206	1	8	"E2348C_1528"
11	4	0	1	2	54	2	4	1	2	10	0	2	36	13	0	0	3	1	12	52	0	0	"EBG00001076638"
7	2	5	4	3	47	0	0	2	0	19	1	8	73	0	3	0	8	0	11	109	1	2	"E2348C_1529"
4	0	6	0	0	32	0	1	0	0	8	0	5	45	5	1	0	4	0	17	62	0	2	"E2348C_1531"
49	14	19	9	5	98	1	3	8	2	32	3	32	225	5	4	2	21	0	52	334	3	0	"E2348C_1532"
20	5	1	3	0	17	1	2	0	0	3	0	9	65	10	1	2	1	2	19	75	0	0	"E2348C_1533"
51	3	10	6	3	61	1	2	2	0	28	0	23	99	11	3	0	7	2	36	226	1	8	"E2348C_1534"
30	3	6	3	3	33	6	4	6	4	19	3	30	137	11	5	0	9	5	19	124	3	4	"E2348C_1535"
94	19	49	25	19	253	4	7	23	1	99	13	78	460	31	20	3	50	9	172	650	3	27	"E2348C_1536"
217	44	15	5	8	214	11	14	5	0	24	0	40	372	27	8	1	16	2	57	787	1	11	"E2348C_1537"
12	5	3	4	2	33	0	4	0	0	3	0	2	39	9	0	1	4	0	9	77	0	0	"E2348C_1538"
45	10	18	14	8	104	1	3	1	3	30	8	53	183	20	3	2	19	4	51	375	3	5	"E2348C_1539"
72	11	16	8	11	88	2	2	3	0	35	2	42	175	11	4	1	9	0	76	342	0	7	"E2348C_1540"
191	22	28	8	10	113	6	11	2	0	27	4	22	169	46	8	1	34	9	66	286	0	9	"E2348C_1541"
330	43	20	7	10	243	33	50	3	1	35	7	81	280	92	5	2	27	5	167	692	0	16	"E2348C_1542"
51	13	27	4	11	114	12	3	5	1	42	1	38	199	16	7	0	21	2	65	359	6	17	"E2348C_1543"
45	4	15	4	0	64	4	3	1	1	15	1	15	91	16	2	0	13	4	25	119	0	2	"E2348C_1545"
32	10	3	7	4	42	3	6	1	0	19	2	20	140	13	3	3	5	0	24	143	1	2	"E2348C_1547"
16	3	5	2	3	25	2	2	0	0	6	0	6	24	3	2	0	0	0	6	97	0	0	"E2348C_1548"
41	4	9	2	2	29	2	7	0	0	2	0	8	51	9	0	0	1	0	13	115	0	0	"E2348C_1550"
118	18	31	14	10	185	15	13	11	2	51	8	95	364	27	15	5	32	11	70	504	4	13	"E2348C_1551"
92	13	6	4	5	52	3	12	5	1	17	4	32	86	8	3	0	4	0	37	197	2	10	"E2348C_1552"
15	1	3	1	0	19	0	0	2	0	2	1	9	29	3	2	0	2	2	5	44	0	1	"E2348C_1553"
68	9	2	2	3	25	9	10	0	0	20	1	20	83	13	0	1	11	0	22	135	0	5	"E2348C_1554"
59	4	25	13	5	129	6	0	9	1	55	4	50	262	24	9	1	22	3	79	378	5	21	"E2348C_1555"
7	2	2	0	2	23	0	0	0	0	3	0	7	36	0	0	0	1	0	8	60	1	3	"E2348C_1556"
109	8	15	15	5	123	13	15	6	0	35	1	24	196	84	5	5	16	4	52	242	2	19	"EBG00001076655"
14	2	3	2	3	15	3	0	2	0	3	0	8	32	7	0	0	4	0	12	55	0	0	"E2348C_1559"
35	6	8	1	1	25	4	0	1	0	5	0	1	50	20	2	0	2	0	15	57	0	13	"E2348C_1560"
34	6	36	13	3	153	2	4	3	0	51	3	40	300	24	6	6	30	5	40	290	2	24	"E2348C_1566"
22	2	8	1	1	52	1	4	0	0	16	3	13	81	2	1	0	11	0	15	105	1	5	"E2348C_1567"
181	40	41	15	12	224	2	18	14	1	70	12	117	496	49	17	2	32	12	156	586	6	42	"E2348C_1568"
244	28	10	3	4	109	17	22	4	3	7	0	39	260	46	1	5	6	0	54	383	2	5	"E2348C_1569"
103	17	13	5	5	89	7	4	1	0	22	0	24	155	33	6	4	5	4	32	192	3	0	"E2348C_1570"
22	1	4	0	0	16	0	2	0	0	8	0	5	31	11	0	0	3	0	8	34	0	0	"E2348C_1571"
17	1	3	4	1	32	4	5	5	0	7	3	15	47	7	0	0	1	2	16	67	1	4	"E2348C_1572"
72	15	16	2	4	83	1	2	4	0	23	2	24	120	5	6	3	12	6	58	206	1	18	"E2348C_1573"
71	9	28	9	11	151	2	1	1	0	39	6	26	245	13	6	1	15	6	97	465	2	22	"E2348C_1574"
12	1	2	1	0	57	7	0	2	0	17	0	17	48	4	1	2	7	12	23	120	0	5	"E2348C_1576"
60	7	13	7	5	139	1	3	5	0	42	4	53	232	23	9	0	25	5	89	441	1	11	"E2348C_1577"
14	3	5	0	1	26	1	0	0	0	8	2	6	42	4	2	1	1	3	1	32	0	2	"E2348C_1578"
22	8	10	3	2	60	5	2	5	0	22	2	12	106	7	4	2	11	3	26	141	0	11	"E2348C_1579"
69	9	7	2	2	178	20	21	5	0	14	4	16	143	75	0	6	9	1	35	294	0	12	"E2348C_1585"
34	4	15	1	6	99	6	5	1	0	25	2	17	125	11	2	1	20	0	43	218	3	18	"E2348C_1586"
489	75	85	37	15	818	23	24	23	2	143	18	123	839	95	23	6	226	23	256	1783	12	54	"E2348C_1587"
15	2	3	0	0	9	1	0	2	1	3	3	11	17	4	3	0	3	0	3	44	1	0	"E2348C_1588"
40	4	5	2	2	25	4	8	1	0	9	0	9	60	6	4	3	1	0	17	69	1	0	"E2348C_1589"
45	11	11	3	2	58	0	5	0	2	30	2	15	106	15	1	0	19	0	13	104	0	4	"E2348C_1591"
2392	521	125	21	12	1456	174	142	18	1	106	5	166	1150	447	37	17	66	14	252	1098	11	99	"E2348C_1592"
10	0	18	11	17	147	3	2	8	1	46	2	63	314	8	0	0	38	2	103	559	1	2	"E2348C_1593"
5	4	3	2	0	34	2	0	0	2	7	0	7	53	5	1	2	2	0	10	67	0	3	"E2348C_1597"
224	27	10	2	2	85	6	22	5	1	14	5	17	141	46	9	0	15	0	31	201	3	9	"E2348C_1598"
85	10	8	6	4	61	7	5	1	2	13	0	21	106	23	4	2	2	2	28	161	0	9	"E2348C_1600"
44	11	5	7	3	41	2	0	5	0	15	0	21	73	10	1	2	5	0	29	120	3	9	"E2348C_1601"
18	3	2	3	1	75	3	2	0	1	9	1	22	84	4	0	1	4	0	33	180	1	4	"E2348C_1607"
13	1	1	2	0	59	0	3	0	0	1	0	19	111	4	0	0	0	2	39	174	0	7	"E2348C_1608"
2	1	5	0	0	18	0	0	0	0	0	0	17	59	0	0	0	0	0	17	68	0	0	"E2348C_1609"
50	3	4	0	6	86	3	2	4	2	10	0	23	113	17	4	0	11	0	36	234	2	0	"E2348C_1610"
40	6	14	8	4	71	1	5	0	1	41	4	41	212	6	6	3	15	4	70	258	3	13	"E2348C_1611"
34	2	2	1	1	34	1	8	0	0	7	1	25	65	22	4	0	2	0	16	111	1	8	"E2348C_1612"
161	21	31	12	12	165	24	26	12	1	60	3	77	399	61	6	2	29	7	106	469	3	12	"E2348C_1613"
526	63	30	8	7	332	41	76	7	4	32	4	38	389	126	9	2	35	4	67	645	3	18	"E2348C_1614"
73	5	6	1	6	82	0	5	4	0	17	2	13	82	5	1	0	8	3	9	42	2	6	"E2348C_1615"
58	10	11	6	5	83	3	2	0	0	15	1	29	168	12	1	1	8	4	42	244	2	6	"E2348C_1616"
37	4	3	8	4	52	0	12	3	2	16	1	19	113	10	5	0	8	3	31	137	1	9	"E2348C_1617"
57	6	9	0	1	61	8	14	1	0	22	0	17	67	42	0	0	9	0	26	169	1	4	"E2348C_1618"
940	73	0	0	2	29	264	588	5	0	3	1	35	52	551	0	1	2	4	15	102	2	10	"E2348C_1619"
1103	91	2	5	5	63	385	571	7	2	1	3	57	95	667	1	1	3	1	49	88	2	15	"E2348C_1620"
68	7	18	2	5	102	11	10	2	0	16	6	13	121	49	7	0	11	2	36	144	3	2	"E2348C_1621"
15	5	1	2	1	23	1	8	1	0	3	0	3	20	24	0	0	3	1	7	22	0	4	"E2348C_1622"
65	10	3	0	0	31	7	5	2	0	1	0	4	11	63	0	0	7	0	2	27	0	0	"E2348C_1623"
16	5	5	0	1	40	4	2	0	0	6	0	9	172	15	0	0	6	0	26	216	0	0	"E2348C_1625"
17	4	6	7	5	49	1	3	0	2	13	4	21	48	4	2	0	7	0	21	88	3	0	"E2348C_1628"
31	2	16	16	12	97	1	1	10	0	31	5	9	302	0	8	1	24	10	39	169	5	18	"E2348C_1634"
197	31	27	10	18	245	12	10	7	0	53	4	88	367	55	1	3	41	10	184	589	5	18	"E2348C_1635"
187	28	34	16	15	243	5	8	10	0	71	6	78	607	44	5	4	19	16	183	722	4	27	"E2348C_1636"
275	39	92	28	25	502	27	35	33	4	171	17	85	978	85	23	6	74	27	307	1175	6	61	"E2348C_1637"
20	5	2	0	1	36	0	0	2	0	6	1	14	52	4	0	2	5	0	17	109	1	2	"E2348C_1638"
30	2	16	9	5	103	1	1	2	0	33	3	18	183	32	0	2	10	6	50	220	3	12	"E2348C_1641"
11	0	8	3	2	61	1	1	0	0	17	0	26	80	8	1	0	10	1	33	153	0	8	"E2348C_1642"
66	12	29	14	3	181	7	11	0	2	59	4	36	247	34	5	2	25	9	107	451	0	13	"E2348C_1643"
7	1	4	0	0	31	0	0	4	0	10	2	4	40	0	0	0	2	0	17	92	0	0	"E2348C_1644"
59	8	22	8	7	131	3	2	6	2	57	4	46	258	40	5	3	20	1	97	423	1	8	"E2348C_1645"
34	12	13	4	4	56	2	7	8	1	25	3	39	124	25	0	0	13	4	49	217	1	6	"E2348C_1646"
32	5	3	2	4	54	2	2	1	0	12	3	12	76	15	0	0	9	0	29	112	0	5	"E2348C_1647"
108	16	8	9	3	84	7	6	3	0	26	3	28	118	50	0	1	15	0	22	222	1	12	"E2348C_1648"
57	9	10	3	12	86	3	3	0	0	25	2	13	100	21	7	2	13	5	55	184	0	10	"E2348C_1649"
12	3	7	1	0	22	0	1	0	0	15	0	7	52	1	1	0	6	2	24	71	1	7	"E2348C_1650"
22	2	4	4	3	40	0	2	2	1	9	4	3	59	5	4	2	4	0	29	74	1	2	"E2348C_1651"
11	2	11	6	6	47	0	3	2	0	7	2	22	63	8	1	0	5	0	29	101	0	7	"E2348C_1653"
25	6	12	1	1	53	2	1	2	1	10	1	18	98	28	5	0	13	5	20	142	0	2	"E2348C_1654"
4	0	5	4	0	25	1	0	1	0	3	0	7	55	2	2	5	4	3	3	18	0	6	"E2348C_1655"
4	0	3	1	1	15	0	0	1	0	2	2	4	56	0	1	0	3	2	0	25	0	1	"EBG00001076482"
401	48	51	16	16	237	10	11	14	3	69	4	72	1104	76	28	2	26	8	122	552	4	12	"E2348C_1656"
53	10	11	8	8	154	6	6	3	3	36	4	48	175	35	11	4	8	2	62	338	3	15	"E2348C_1658"
