geneid,4UIN,4UIWT,490WT,490N,4180N,4180WT,5UIN,5UIWT,545WT,545N,590WT,590N,5180N,5180WT,6UIWT,645WT,645N,690WT,690N,6180N,6180WT,445N,445WT
E2348C_1147,3.6319638794946325,0.302038318491031,3.53677127781433,3.3224215034013396,3.3224215034013396,3.6373429729180544,9.809053962423004,0,36.155763419367524,24.465103797773505,0.3164210955620326,19.301686829283973,3.6145025146893692,0.33091847643439654,10.186325268670043,0,45.33497728834731,0.3164210955620326,0,0.32413868325866746,0.3312071280649311,0,9.96726451020402
E2348C_1149,25.889070319032378,25.79130259183841,10.903516319118289,17.593790824178807,20.279865759167944,13.688317909500222,43.33625461642028,27.084440689676,29.6811280316299,29.010909011560834,17.724281855867094,35.014757816002,21.800203324421226,16.40544877178833,14.999104185828388,13.431691378345162,13.047928767535298,10.909464773193093,6.588558090537625,19.1023186762448,16.40880197667047,22.629853757169414,25.772889001220715
E2348C_1150,231.68279936256891,179.67387126981015,116.54364417667568,116.43354390091025,116.41345876309737,120.81966315239475,213.26106979948284,152.95640806119386,154.19806010950242,212.27563441919378,84.29956606218916,86.73720887587606,64.65515327935593,115.21060676539445,186.73726437726572,107.91703439066549,78.02065120352212,140.4049970728301,168.19619687299055,73.09265623357979,85.74208358691203,78.07926927354731,131.9182425307972
E2348C_1151,34.94266643890933,22.786192114810397,28.183751033334897,36.12090639614181,24.045281246647594,44.327019095329376,34.7575158041647,36.12946585263379,26.628860658113485,102.14354013634569,41.61631719227075,15.813096291253085,10.814219704961047,24.2381776713353,46.96384268885818,36.02440015767885,31.64989557078912,64.35139380728678,17.20388514428786,21.543163810688327,32.27816061407967,35.70640419159593,38.846635310537025
E2348C_1152,22.82277773709797,20.0524272231135,34.786735076676806,29.33753163060758,37.32823372072841,41.53064995877998,37.339091263986326,18.66491470234257,38.5746714870228,29.86130142152404,33.484193850323734,19.774884977810892,34.82490982024517,29.513657463724442,24.120314154778875,13.226909819595365,7.4075457153485456,33.44667474465202,27.837140020763364,34.841266862557944,41.538393837019974,16.93433110917597,46.75254262965886
E2348C_1153,75.98007637983531,66.40012698375222,40.695962850529725,33.81451854994324,50.04092423800372,35.34519255741763,67.67025617006179,24.34574419580255,36.408327009170264,39.781228152311236,36.668590216345095,32.24464258012282,25.833953190726653,42.12307105681479,65.10567885497386,33.721365606279484,13.030696549495397,44.76261106236657,39.06593759493489,36.68935817438426,29.933663410091686,56.40515143873351,46.05899671455304
E2348C_1154,24.53703925842944,19.530273744704836,26.089830220389693,8.092770309234986,24.31680304041633,24.545700314823502,9.679588016928118,25.970042202848873,17.700018107135918,76.95155413135159,14.746425776741999,19.200494263086924,22.887707505424174,22.924313195156962,3.3675177198121546,22.610476118738752,0,16.33146289012771,0,22.90520488970699,26.18092414210613,0,24.39732225578194
E2348C_1155,16.357419108720286,21.534215131247137,0.2560080445415755,2.6880844676865414,0,2.942879203960147,26.7672636430195,0,0,0,2.915246535378362,0,2.9203880636594524,0.267971037277163,18.979955523223204,10.49632982620459,0,2.861509272053415,0,2.9302542395501936,2.95295564026817,0,10.752337870746166
E2348C_1156,13.72528793989914,22.677119345683128,6.117119324862452,13.553117734667124,10.515170145051401,7.6929003049159315,4.459955465949367,1.5106300771763985,27.004843848783022,33.769891725265936,6.146304054465805,13.303290679650217,10.688616250536786,12.227728468643457,16.706119340581793,8.917590455589705,0,7.61955170795568,16.359018396739536,7.680937824434676,10.720416747599788,7.003830357817846,13.595670694587588
E2348C_1157,2.215400775703587,2.123092410049271,2.1573358360178077,0,2.026588209592486,2.2210210267489603,8.04097902515728,0,0,0,0.1961214396379825,5.711294045215187,8.260420947871125,2.223545631496615,0,11.96340781791693,11.238352798649238,0.18423529178113512,21.94646744046497,4.232322338264971,2.226020913286102,15.633680473999178,0
