"Mature miRNA","Precursor miRNA","baseMean.WTvsUI","log2FoldChange.WTvsUI","lfcSE.WTvsUI","stat.WTvsUI","pvalue.WTvsUI","padj.WTvsUI","baseMean.WTvsN","log2FoldChange.WTvsN","lfcSE.WTvsN","stat.WTvsN","pvalue.WTvsN","padj.WTvsN","baseMean.NvsUI","log2FoldChange.NvsUI","lfcSE.NvsUI","stat.NvsUI","pvalue.NvsUI","padj.NvsUI"
"hsa-miR-101-3p","hsa-mir-101-2",4942.27933769322,-0.129722137395127,0.173766213432348,-0.746532567135852,0.455345766026029,0.999999765622576,4942.27933769322,-0.0327240367971401,0.173976114454837,-0.188094997406296,0.850802182599261,0.985128405312649,4942.27933769322,-0.0969981005979868,0.173420685714314,-0.55932255254588,0.575941606526282,0.957959527950537
"hsa-miR-10395-3p","hsa-mir-10395",20.9243040752899,-1.1882081443812,0.607962969463785,-1.95440874537011,0.0506528972782915,0.561969398319408,20.9243040752899,-1.45810733455387,0.613056450838914,-2.37842262740826,0.0173868853736589,0.772031139035676,20.9243040752899,0.269899190172673,0.52694701305698,0.512194174148376,0.608515120025045,0.957959527950537
"hsa-miR-10396b-3p","hsa-mir-10396b",4.63378190508996,0.258706837161932,1.09238671995403,0.236827153274822,0.81279088543741,0.999999765622576,4.63378190508996,0.542476341729795,1.14026109984053,0.475747477315206,0.634254292418375,0.949810705021192,4.63378190508996,-0.283769504567863,1.06165703297571,-0.267289242904074,0.78924646848852,NA
"hsa-miR-103a-3p","hsa-mir-103a-1",36198.2927893752,-0.204993010200652,0.208873866233429,-0.981420097675408,0.326385619277323,0.999999765622576,36198.2927893752,-0.167714077172219,0.208895358238718,-0.802861674793953,0.422054689818908,0.948758636864511,36198.2927893752,-0.0372789330284323,0.208831554694778,-0.178511973839002,0.858320918460093,0.982339093784102
"hsa-miR-103a-3p","hsa-mir-103a-2",36613.0963365485,-0.0926070750680863,0.186871395777956,-0.495565812427086,0.620200778313915,0.999999765622576,36613.0963365485,-0.0942571457331911,0.186893869119791,-0.504335140457583,0.614025887584849,0.949810705021192,36613.0963365485,0.00165007066510479,0.186823677139211,0.00883223524112121,0.992952987484854,0.999999390127491
"hsa-miR-106a-5p","hsa-mir-106a",17.0885950478845,0.0641063756893275,0.546544636816915,0.117293943387102,0.906627124379592,0.999999765622576,17.0885950478845,-0.0569886372004546,0.55748126138255,-0.102225206743493,0.918577920470879,0.99410751050234,17.0885950478845,0.121095012889782,0.512999035030861,0.236053100728537,0.813391465775259,0.977075481406779
"hsa-miR-106b-5p","hsa-mir-106b",926.70009468274,-0.104778625195874,0.181387667727605,-0.577650214639858,0.563500297626522,0.999999765622576,926.70009468274,-0.0984445709075409,0.182205494732236,-0.540294193938619,0.588994161817342,0.949810705021192,926.70009468274,-0.00633405428833315,0.179400764863982,-0.0353067295623601,0.971835157263196,0.999999390127491
"hsa-miR-106b-3p","hsa-mir-106b",869.423297038228,-0.00573721460564722,0.230594406428409,-0.0248801117707441,0.980150590831615,0.999999765622576,869.423297038228,-0.272943757530125,0.231031358188878,-1.18141433123975,0.237438167587389,0.878363041892466,869.423297038228,0.267206542924477,0.228718495314554,1.16827693605185,0.242695075520662,0.952119013076541
"hsa-miR-107","hsa-mir-107",6783.4491817213,-0.0292655722025956,0.153324151609193,-0.190873857089329,0.848624422610014,0.999999765622576,6783.4491817213,-0.149042736706347,0.15345648685592,-0.971237774042637,0.331429887481079,0.919292951410221,6783.4491817213,0.119777164503752,0.15299706087005,0.782872323315321,0.433702091589213,0.957959527950537
"hsa-miR-10a-5p","hsa-mir-10a",364070.672432171,0.124257281796579,0.241561156189026,0.514392643903996,0.606977501219101,0.999999765622576,364070.672432171,0.327058054710873,0.241563374003072,1.35392236534465,0.175761147317008,0.878363041892466,364070.672432171,-0.202800772914294,0.241559202477797,-0.839548942180891,0.401161336965149,0.957959527950537
