"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"hsa-miR-19a-3p_hsa-mir-19a"	5681	5085	4737	2722	2889	1789	1780	1375	2028
"hsa-miR-19b-3p_hsa-mir-19b-1"	16092	15069	15077	10216	9156	4873	5415	4500	6520
"hsa-miR-19b-3p_hsa-mir-19b-2"	16091	15066	15077	10217	9152	4872	5415	4500	6520
"hsa-miR-200a-5p_hsa-mir-200a"	373	403	431	593	259	75	123	122	161
"hsa-miR-200a-3p_hsa-mir-200a"	11105	11313	12540	9757	5938	2870	2989	3168	4277
"hsa-miR-200b-5p_hsa-mir-200b"	202	205	237	215	113	60	49	51	90
"hsa-miR-200b-3p_hsa-mir-200b"	60887	59476	72567	40396	29011	18223	14252	11390	20764
"hsa-miR-200c-5p_hsa-mir-200c"	44	34	34	34	21	12	11	8	12
"hsa-miR-200c-3p_hsa-mir-200c"	31539	28380	35657	18210	15526	5202	6702	7400	10740
"hsa-miR-203a-3p_hsa-mir-203a"	1042	1220	1275	759	736	352	330	385	444
"hsa-miR-204-5p_hsa-mir-204"	43	44	37	36	14	13	8	10	18
"hsa-miR-205-5p_hsa-mir-205"	903	1195	1199	1254	859	280	300	413	447
"hsa-miR-20a-5p_hsa-mir-20a"	9711	7399	7580	3941	3442	1820	2055	1626	2604
"hsa-miR-20a-3p_hsa-mir-20a"	51	52	41	53	26	26	14	12	12
"hsa-miR-21-5p_hsa-mir-21"	258233	269206	231685	214800	165251	67288	76310	78005	100887
"hsa-miR-21-3p_hsa-mir-21"	5071	3948	3139	5294	2414	729	1649	1158	1671
"hsa-miR-210-5p_hsa-mir-210"	1031	882	810	1518	436	254	265	238	323
"hsa-miR-210-3p_hsa-mir-210"	29324	28127	21670	17627	16721	7475	8435	8232	8746
"hsa-miR-2110_hsa-mir-2110"	133	137	152	140	48	19	49	35	44
"hsa-miR-2116-5p_hsa-mir-2116"	14	7	8	24	7	3	2	3	0
"hsa-miR-2116-3p_hsa-mir-2116"	152	162	196	251	79	65	49	39	74
"hsa-miR-212-5p_hsa-mir-212"	22	21	25	51	18	18	16	7	19
"hsa-miR-212-3p_hsa-mir-212"	35	24	20	127	18	9	41	8	50
"hsa-miR-215-5p_hsa-mir-215"	6515310	6873553	6643294	3359796	4427274	2615884	1900927	2068487	2895724
"hsa-miR-215-3p_hsa-mir-215"	9090	10462	9550	11172	5892	2988	3043	2574	3910
"hsa-miR-218-5p_hsa-mir-218-1"	37	42	34	31	13	5	7	9	21
"hsa-miR-218-5p_hsa-mir-218-2"	37	42	34	31	13	5	7	9	21
"hsa-miR-219a-5p_hsa-mir-219a-1"	24	20	21	16	19	6	9	9	5
"hsa-miR-219a-1-3p_hsa-mir-219a-1"	27	30	27	36	7	5	8	9	9
"hsa-miR-22-5p_hsa-mir-22"	200	143	156	187	97	62	75	67	80
